Routes:
00:00-03:51 longest6_route0_05_18_10_54_02
03:51-08:38 longest6_route1_05_18_12_00_22
08:38-12:45 longest6_route2_05_18_13_52_36
12:45-16:13 longest6_route3_05_18_15_07_05
16:13-17:13 longest6_route4_05_18_16_28_36
17:13-19:05 longest6_route4_05_18_18_17_24
19:05-20:05 longest6_route5_05_18_19_27_33
20:05-23:15 longest6_route5_05_18_20_26_28
23:15-27:33 longest6_route6_05_18_22_01_36
27:33-31:41 longest6_route7_05_19_00_08_48
31:41-35:36 longest6_route8_05_19_02_17_16
35:36-38:41 longest6_route9_05_19_04_23_49
38:41-41:51 longest6_route9_05_19_06_13_45
41:51-46:22 longest6_route10_05_19_19_49_03
46:22-48:30 longest6_route11_05_19_20_43_18
48:30-58:13 longest6_route12_05_19_21_05_32
58:13-01:04:46 longest6_route13_05_19_23_49_33
01:04:46-01:11:33 longest6_route14_05_20_01_05_24
01:11:33-01:17:02 longest6_route15_05_20_02_43_19
01:17:02-01:26:04 longest6_route16_05_20_04_00_17
01:26:04-01:33:09 longest6_route17_05_20_06_04_42
01:33:09-01:43:28 longest6_route18_05_20_07_48_08
01:43:28-01:52:54 longest6_route19_05_21_15_56_54
01:52:54-02:05:49 longest6_route20_05_21_18_17_26
02:05:49-02:09:10 longest6_route21_05_21_22_02_35
02:09:10-02:20:41 longest6_route22_05_21_22_58_38
02:20:41-02:30:17 longest6_route23_05_22_01_58_01
02:30:17-02:39:51 longest6_route24_05_22_04_34_43
02:39:51-02:47:12 longest6_route25_05_22_08_50_23
02:47:12-02:53:07 longest6_route26_05_22_11_29_58
02:53:07-02:57:49 longest6_route27_05_22_13_39_08
02:57:49-03:02:55 longest6_route28_05_22_15_24_06
03:02:55-03:05:28 longest6_route29_05_22_17_10_33
03:05:28-03:15:39 longest6_route30_05_22_17_59_58
03:15:39-03:23:58 longest6_route31_05_22_22_13_51
03:23:58-03:37:16 longest6_route32_05_23_01_14_54
03:37:16-03:47:40 longest6_route33_05_23_06_40_21
03:47:40-03:49:46 longest6_route34_05_23_12_28_28
03:49:46-03:53:40 longest6_route35_05_23_13_12_48
